NumOfWeekendDays,Nights,Score,Rating,Review,Refundable,Price,Includes_Airport shuttle included,Includes_Breakfast included,Includes_Kitchen,Includes_Pool,Includes_other,District_Bronx,District_Brooklyn,District_Central New York City,District_Chelsea,District_Flushing,District_Greenwich Village,District_Long Island City,District_New York,District_Queens,District_SoHo,District_Theater District,District_Upper West Side,District_Williamsburg,Checkin_Friday,Checkin_Monday,Checkin_Saturday,Checkin_Sunday,Checkin_Thursday,Checkin_Tuesday,Checkin_Wednesday,Checkout_Friday,Checkout_Monday,Checkout_Saturday,Checkout_Sunday,Checkout_Thursday,Checkout_Tuesday,Checkout_Wednesday
0.0,1.0,7.4,0.0,1287.0,0,292,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.0,1.0,1284.0,0,302,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,6.2,1.0,1135.0203953232317,1,130,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,7.6,0.0,998.0,0,224,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.8,2.0,1154.0,0,290,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,6.6,1.0,1135.0203953232317,1,238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.2,1.0,1004.0,0,293,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,7.0,0.0,998.0,0,188,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.4,1.0,1119.0,0,304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,7.8,0.0,1625.0,0,379,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.0,1.0,1000.0,1,298,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,7.2,0.0,1147.0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.4,1.0,1728.0,0,314,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.8,2.0,1002.0,1,391,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,7.2,0.0,1000.0,0,144,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,9.2,3.0,1219.0,0,348,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,9.0,3.0,1001.0,1,447,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,9.4,4.0,1360.0,0,318,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.6,2.0,1002.0,1,267,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.0,1.0,8.8,2.0,3130.0,1,392,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
